parid	luc	luc_desc	school_name	sch_type
5326136	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3578911	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3578899	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3385331	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3645961	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3229622	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3304365	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
4951113	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3052340	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3886801	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2574267	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3813529	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3052323	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5865991	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2296968	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2408278	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2577991	8300	Public County School	STATE OF FLORIDA TIITF	
3138031	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2553014	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3885155	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3971035	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5052061	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5025659	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3876903	8300	Public County School	COUNTY OF VOLUSIA	
3425936	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3077636	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2905085	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3426215	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3848802	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3887948	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
4951156	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3845161	8300	Public County School	VOL CTY SCH BRD MANGO TREE PR	
3877756	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3532139	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3578902	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2575751	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3532252	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3654854	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2194413	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2018836	8300	Public County School	TOWN OF PIERSON	
2587971	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3364236	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3364538	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3364708	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2292300	8300	Public County School	VOL CTY SCH BRD DELAND M-AG	
2269219	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
6076219	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3598318	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2222107	8300	Public County School	VOL CTY SCH BRD DELAND H ADDN	
2937084	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5096912	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2463503	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2374551	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5750027	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
6361649	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3052536	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3503473	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3503554	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3578856	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3578864	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
4378073	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
6377006	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3438809	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3095685	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3169379	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3043561	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3364546	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5838935	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3834950	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
4087788	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3065590	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5597105	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5429601	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2292181	8300	Public County School	VOL CTY SCH BRD DELAND MIDDLE	Middle              
2282941	8300	Public County School	VOL CTY SCH BRD SOUTHWEST MID	Middle              
2460725	8300	Public County School	VOL CTY SCH BRD DELTONA MIDDLE	Middle              
5310868	8300	Public County School	VOL CTY SCH BRD DDD HIGH	High                
3589661	8300	Public County School	VOL CTY SCH BRD ATLANTIC HIGH	High                
3510968	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5498735	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2995700	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3364091	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2649054	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5561861	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3699238	8300	Public County School	VOL CTY SCH BRD N SMY H AG FRM	
5712761	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
6737789	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3052501	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3885309	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3485289	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3598377	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3094417	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2582081	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3884787	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3364422	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3364465	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3364848	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
6458855	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2203897	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5976475	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
3813588	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
2914556	8300	Public County School	VOL CTY SCH BRD FRIENDSHIP	
2391758	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
5770982	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
6574987	8300	Public County School	SCHOOL BOARD OF VOLUSIA COUNTY	
